City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
Provideniya,RU,64.3833,-173.3,6.8,78,90,13.42,overcast clouds
Salalah,OM,17.0151,54.0924,69.8,68,0,4.61,clear sky
Busselton,AU,-33.65,115.3333,55.0,94,74,10.27,broken clouds
Sabla,NG,12.7525,4.7077,76.93,16,10,8.79,clear sky
Vila Velha,BR,-20.3297,-40.2925,88.0,69,20,16.11,few clouds
Nanortalik,GL,60.1432,-45.2371,15.3,83,0,7.56,clear sky
Albany,US,42.6001,-73.9662,27.0,74,100,7.85,light snow
Ostrovnoy,RU,68.0531,39.5131,7.14,94,100,18.68,light snow
New Norfolk,AU,-42.7826,147.0587,53.01,69,3,1.01,clear sky
Hermanus,ZA,-34.4187,19.2345,64.99,81,1,6.6,clear sky
Sarakhs,IR,36.5449,61.1577,33.8,64,0,2.3,clear sky
Avarua,CK,-21.2078,-159.775,84.2,70,72,16.11,broken clouds
Cape Town,ZA,-33.9258,18.4232,69.01,77,20,19.57,few clouds
Touros,BR,-5.1989,-35.4608,82.4,69,0,16.11,clear sky
Laguna,US,38.421,-121.4238,48.99,57,75,11.5,broken clouds
Mocuba,MZ,-16.8392,36.9856,73.51,95,83,2.35,broken clouds
Portland,US,45.5234,-122.6762,41.0,65,75,19.57,broken clouds
Fort Nelson,CA,58.8053,-122.7002,-5.8,71,75,6.91,light snow
Bredasdorp,ZA,-34.5322,20.0403,66.2,72,0,3.44,clear sky
Torbay,CA,47.6666,-52.7314,34.0,100,90,23.02,light rain
Auki,SB,-8.7676,160.7034,79.79,85,80,11.01,broken clouds
Esperance,AU,-33.8667,121.9,60.8,88,40,12.66,scattered clouds
Bintulu,MY,3.1667,113.0333,75.2,100,40,3.02,heavy intensity rain
Marawi,PH,7.9986,124.2928,73.99,94,100,5.99,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,80.01,83,75,9.22,light rain
Qaanaaq,GL,77.484,-69.3632,-12.01,64,0,8.9,clear sky
Konstantinovka,RU,49.6167,127.9833,-14.01,83,0,10.56,clear sky
Rikitea,PF,-23.1203,-134.9692,80.02,70,43,12.88,scattered clouds
Georgetown,MY,5.4112,100.3354,80.01,94,20,4.9,few clouds
Kungalv,SE,57.871,11.9805,32.0,86,0,2.3,clear sky
Castro,BR,-24.7911,-50.0119,74.07,81,100,6.71,overcast clouds
Cherskiy,RU,68.75,161.3,-40.49,78,40,2.84,scattered clouds
Sesheke,ZM,-17.4759,24.2968,69.51,89,100,4.52,light rain
Punta Arenas,CL,-53.15,-70.9167,50.0,46,20,32.21,few clouds
Vaini,TO,-21.2,-175.2,77.0,94,75,5.75,light rain
Inirida,CO,3.8653,-67.9239,83.59,77,35,2.59,scattered clouds
Mar Del Plata,AR,-38.0023,-57.5575,73.4,88,0,6.91,clear sky
Kumluca,TR,36.3703,30.2869,57.56,74,78,10.56,broken clouds
Willowmore,ZA,-33.2926,23.4895,66.0,61,100,7.2,overcast clouds
General Roca,AR,-39.0333,-67.5833,84.2,21,0,9.22,clear sky
